,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
659,2006,201001,Berta Davis,Mr,Male,1,Married,31,7/30/2021,11/15/2022,Inactive,11/15/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969
660,2007,1795051,Norene Sipes,Mr,Male,1,Married,31,8/3/2021,4/30/2022,Inactive,4/30/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971
661,2009,5320,Jeffry Hansen,Mr,Male,1,Single,54,7/28/2021,11/11/2021,Inactive,11/11/2021,\N,\N,Staff,Contarct Basis,Buddhist,Lab Technician,1991
662,2010,5321,Malinda Ritchie,Mr,Male,1,Single,36,8/5/2021,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1995
663,2013,201005,Dr Neal Zemlak,Ms,Female,1,Married,25,8/2/2021,\N,Active,\N,\N,\N,Labour,Contarct Basis,Buddhist,Document Controller,0
664,2016,201008,Edison Mills,Mr,Male,3,Single,31,8/8/2021,2/25/2022,Inactive,2/25/2022,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,1997
665,2017,5322,Ms Rowena Mayert IV,Mr,Male,1,Married,6,8/9/2021,\N,Active,\N,2017,\N,Staff,Contarct Basis,Buddhist,Project Manager,1967
666,2018,5323,Miss Rita Considine PhD,Mr,Male,1,Single,22,8/9/2021,8/13/2021,Inactive,8/13/2021,\N,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1996
667,2019,5324,Uriah Nienow,Mr,Male,1,Married,22,8/9/2021,\N,Active,\N,673,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1990
668,2020,1795052,Arnulfo Kuphal,Mr,Male,5,Married,31,8/10/2021,5/19/2022,Inactive,5/19/2022,\N,\N,Labour,Contarct Basis,Muslim,Unskilled Labor,1964
669,2023,1795054,Drake Hamill,Mr,Male,1,Married,31,8/11/2021,5/5/2022,Inactive,5/5/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1969
670,2024,1795055,Miss Savanah Moore Sr,Mr,Male,1,Married,31,8/11/2021,2/7/2022,Inactive,2/7/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1984
671,2027,5325,Jaquelin Kohler,Ms,Female,1,Single,170,8/11/2021,7/14/2022,Inactive,7/14/2022,\N,\N,Staff,Contarct Basis,Buddhist,Planning Engineer cum QAQC,1996
672,2031,195033,Mr Shaun Mante Jr,Mr,Male,3,Married,29,8/13/2021,10/23/2021,Inactive,10/23/2021,\N,\N,Labour,Contarct Basis,Hindu,Cook,1985
673,2033,1795058,Clarissa Goodwin,Mr,Male,1,Married,124,8/13/2021,4/5/2022,Inactive,4/5/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1996
674,2034,1795059,Bridgette Halvorson,Mr,Male,1,Married,124,8/13/2021,5/5/2022,Inactive,5/5/2022,\N,\N,Labour,Contarct Basis,Buddhist,Mason,1990
675,2036,5326,Mckenzie Bruen,Mr,Male,1,Married,168,8/17/2021,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Planning Executive,1982
676,2040,5327,Norma Hartmann MD,Mr,Male,1,Married,158,8/19/2021,4/30/2022,Inactive,4/30/2022,\N,\N,Staff,Contarct Basis,Buddhist,Assistant QS,1995
677,2043,193176,Ms Pearlie Hettinger Sr,Mr,Male,1,Single,31,8/17/2021,10/31/2021,Inactive,10/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993
